Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.45,2.2147,14,-0.003,0.2992,0.4115,42.1955,0,115.2466,0.0029,0.08,10000,38.74671726,-90.50896952,11.2,14,15,14,11,18,10,19,18,121.17,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,7973,59.44,80,33.2,69.63,86.57,8,1,0,48.12,-12.4,1,1,3,0,0,0,0.6,0,0,0,48.4,170.8,0,68,68,3,4,50,-10000,0,-1312,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.9,100,102,100,100,100
117.5,2.5462,14,0.0016,0.3224,0.2998,42.0696,0,115.2458,0.0029,0.08,10000,38.74671761,-90.50896917,11.2,14,14,13,11,19,9,19,19,121.5,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,8561,59.59,80,33.8,69.63,85.35,8,1,0,48.38,-12.39,1,1,3,0,0,0,0.6,0,0,0,48.4,170.8,0,68,68,3,4,50,-1186,0,2711,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.75,100,102,100,100,100
117.55,3.158,14,0.011,0.3258,0.2499,43.9738,0,115.2459,0.0029,0.08,10000,38.74671787,-90.50896883,11.2,14,15,13,10,19,8,19,19,121.83,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,8569,59.87,80,33.9,69.63,84.54,8,1,0,48.79,-12.36,1,1,3,0,0,0,0.6,0,0,0,48.5,170.8,0,68,68,3,4,50,8607,0,7723,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.63,100,102,100,100,100
117.6,3.7998,14,0.0142,0.3206,0.2893,44.3731,0.1159,115.2485,0.0029,0.08,521.9203,38.74671823,-90.50896831,11.2,14,16,13,10,18,8,19,19,122.16,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,9138,59.99,81,35.5,69.63,81.54,8,1,0,48.79,-12.36,1,1,3,0,0,0,0.6,0,0,0,48.7,170.8,0,68,68,3,4,50,9772,-1273,3713,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.53,100,102,100,100,100
117.65,4.3555,14,0.0081,0.3052,0.062,44.2709,4.0819,115.2485,0.0029,0.08,16.9822,38.74671878,-90.50896786,11.2,14,14,14,11,18,9,19,18,122.49,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,10095,59.01,71,36,69.63,75.75,8,1,0,48.38,-12.39,1,1,3,0,0,0,0.8,0,0.1,0,48.8,170.8,0,68,68,3,4,50,9979,-2687,-1299,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.72,100,102,100,100,100
117.7,4.7619,14,0.0032,0.2877,-0.0402,43.2106,1.4874,115.2498,0.0029,0.08,50.9517,38.74671926,-90.50896734,11.3,14,14,13,11,18,9,19,18,122.83,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,10650,58.27,70,36.1,69.63,70.21,8,1,0,48.33,-12.4,1,1,3,0,0,0,0.9,0,0.1,0,49,170.8,0,68,68,3,4,50,5761,-2134,-1569,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.47,100,102,100,100,100
117.75,5.4291,14,0.0026,0.288,-0.0888,43.0674,1.0406,115.2503,0.0029,0.08,83.0321,38.74671975,-90.50896665,11.3,14,15,12,10,17,9,19,19,123.16,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11492,57.84,75,37.9,69.63,68.52,9,1,0,48.64,-12.4,1,1,3,0,0,0,0.9,0,0.1,0,49.2,170.8,0,68,68,3,4,50,1050,-1363,-1312,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
117.8,6.0483,14,0,0.3015,-0.1584,43.9147,-0.0121,115.2427,0.0029,0.08,7979.7153,38.74672035,-90.50896591,11.3,15,15,12,10,17,9,19,19,123.49,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,12392,57.44,77,38.9,69.63,66.72,9,1,0,48.78,-12.39,1,1,3,0,0,0,0.9,0,0.1,0,49.4,170.8,0,68,68,3,4,50,4776,-713,-370,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
117.85,6.4685,14,-0.0056,0.3255,-0.1058,44.8644,-1.8662,115.246,0.0029,0.08,55.1659,38.74672094,-90.50896519,11.3,15,14,12,11,18,9,19,19,123.82,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,12713,57.31,77,39,69.63,67.11,8,1,0,48.72,-12.36,1,1,3,0,0,0,0.9,0,0.1,0,49.6,170.8,0,68,68,3,4,50,9440,-76,649,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
117.9,6.9438,14,-0.002,0.3123,0.0407,44.5945,-0.6989,115.2555,0.0029,0.08,158.1162,38.74672159,-90.50896442,11.3,14,14,12,12,19,9,19,18,124.15,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,12692,57.21,77,39,69.63,67.39,8,1,0,48.84,-12.36,1,1,3,0,0,0,1,0,0.1,0,49.7,170.8,0,68,68,3,4,50,1527,-11080,657,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
117.95,7.5555,14,0.007,0.2989,0.0016,43.3815,1.9797,115.2527,0.0029,0.08,60.7409,38.74672233,-90.50896347,11.3,14,14,13,10,19,9,18,18,124.48,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,12657,56.12,77,39,69.63,66.56,8,1,0,49.11,-12.39,1,1,3,0,0,0,1,0,0.1,0,49.9,170.8,0,68,68,3,4,50,-8101,-23671,527,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118,8.1314,14,-0.0035,0.3033,-0.0076,42.4074,-0.9234,115.2566,0.0029,0.08,140.1449,38.74672314,-90.50896259,11.3,14,14,13,10,18,9,18,18,124.81,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,12751,52.94,76,39,69.63,65.43,8,1,0,49.15,-12.4,1,1,3,0,0,0,0.9,0,0.1,0,50.1,170.8,0,68,68,3,4,50,-5026,-21838,-1204,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.05,8.5954,14,0.0021,0.3217,-0.1289,43.7368,0.5257,115.248,0.0029,0.08,260.2355,38.74672396,-90.50896159,11.3,13,15,13,11,16,9,19,19,125.14,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,12224,48.81,76,39,69.63,63.33,8,1,0,48.95,-12.4,1,1,3,0,0,0,0.9,0,0.1,0,50.3,170.8,0,68,68,3,4,50,-538,-18403,-3113,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.1,9.2557,14,-0.0027,0.3345,-0.1603,44.0428,-0.5937,115.2497,0.0029,0.08,248.1156,38.74672481,-90.50896052,11.3,14,15,12,11,17,9,19,18,125.48,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11558,47.4,74,38.2,69.63,62.05,9,1,0,49.13,-12.4,1,1,3,0,0,0,0.9,0,0.2,0,50.5,170.8,0,68,68,3,4,50,-4444,-10224,-258,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.15,9.8392,14,-0.0105,0.3417,-0.0417,44.3029,-2.2621,115.2558,0.0029,0.08,69.2251,38.74672572,-90.50895947,11.3,14,15,13,11,17,10,19,18,125.81,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11253,47.12,73,37.7,69.63,62.22,9,1,0,49.72,-12.4,1,1,3,0,0,0,0.9,0,0.2,0,50.6,170.8,0,68,68,3,4,50,-9495,-1398,3247,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.2,10.3533,14,-0.0118,0.3466,0.0623,44.1073,-2.3876,115.2531,0.0029,0.08,69.0144,38.74672675,-90.50895823,11.4,13,15,14,11,17,9,19,18,126.14,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11042,46.83,72,37,69.63,60.37,8,1,0,49.56,-12.4,1,1,3,0,0,0,0.8,0,0.2,0,50.8,170.8,0,68,68,3,4,50,-1400,-862,822,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.25,11.1323,14,-0.0079,0.3614,-0.1276,43.8578,-1.5358,115.2486,0.0029,0.08,115.3672,38.7467278,-90.50895695,11.4,14,13,13,12,17,8,19,17,126.47,14.5,12.3,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11126,46.8,72,37.1,69.63,59.4,8,1,0,48.59,-12.4,1,1,3,0,0,0,0.9,0,0.2,0,51,170.8,0,68,68,3,4,50,8154,-1247,-2263,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.3,11.8136,14,0.0036,0.3777,-0.2098,43.3889,0.6497,115.2433,0.0029,0.08,289.3897,38.74672891,-90.50895566,11.4,14,13,13,12,18,9,18,18,126.8,14.5,12.4,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11237,46.8,73,37.4,69.63,59.93,8,1,0,48.3,-12.4,1,1,3,0,0,0,0.9,0,0.2,0,51.2,170.8,0,68,68,3,4,50,6197,-707,-1067,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.35,12.4628,14,0.0009,0.3684,-0.1872,42.9339,0.1565,115.2368,0.0029,0.08,1267.6726,38.74673011,-90.50895429,11.4,15,14,14,11,18,10,17,19,127.13,14.5,12.4,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11295,46.89,73,37.5,69.63,59.85,8,1,0,48.7,-12.4,1,1,3,0,0,0,0.9,0,0.2,0,51.4,170.8,0,68,68,3,4,50,2960,-64,604,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.4,12.9831,14,-0.002,0.3649,0.0388,43.2107,-0.3158,115.2509,0.0029,0.08,654.2966,38.7467314,-90.50895285,11.4,15,14,14,11,18,9,19,18,127.46,14.5,12.4,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11192,46.9,73,37.3,69.63,59.75,8,1,0,48.62,-12.39,1,1,3,0,0,0,0.8,0,0.2,0,51.5,170.8,0,68,68,3,4,50,5917,-229,1115,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.45,13.7144,14,-0.0074,0.379,0.0176,43.8658,-1.1476,115.2575,0.0029,0.08,190.2045,38.74673265,-90.50895117,11.4,15,14,14,11,18,9,20,18,126.92,14.5,12.4,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,10975,46.9,72,36.8,69.63,60.93,8,1,0,48.08,-12.38,1,1,3,0,0,0,0.8,0,0.2,0,51.7,170.8,0,68,68,3,4,50,9563,-484,1496,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
118.5,14.4311,14,0.0069,0.393,-0.0125,43.6478,0.9894,115.249,0.0029,0.08,232.1445,38.74673401,-90.5089496,11.4,14,13,13,11,18,9,19,18,126,14.5,12.4,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,11038,46.54,72,37.1,69.63,60.56,8,1,0,48.01,-12.38,1,1,3,0,0,0,0.8,0,0.2,0,51.9,170.8,0,68,68,3,4,50,6216,-858,5311,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,102,100,100,100
